"","Casualty.Class","Age.of.Casualty","Weather.Conditions","Type.of.Vehicle","Casualty.Severity"
"1008",2,29,1,9,3
"1009",1,67,1,9,3
"1010",1,84,2,9,3
"1011",2,24,1,9,3
"1012",3,48,1,9,2
"1013",3,3,1,9,2
"1014",1,32,1,90,2
"1015",1,25,1,3,2
"1016",3,30,1,9,3
"1017",1,19,1,1,2
"1018",1,9,1,1,3
"1019",1,35,1,9,3
"1020",2,27,1,9,3
"1021",3,8,1,9,2
"1022",1,25,1,9,3
"1023",2,23,1,9,3
"1024",2,24,1,9,3
"1025",1,18,1,3,3
"1026",1,51,1,1,3
"1027",1,32,1,9,3
"1028",1,10,1,90,3
"1029",1,28,1,2,3
"1030",1,39,1,9,3
"1031",1,24,1,9,3
"1032",1,28,1,1,3
"1033",3,13,1,9,3
"1034",1,27,1,9,3
"1035",1,31,1,9,3
"1036",1,17,2,3,3
"1037",1,25,1,9,3
"1038",2,32,1,8,3
"1039",1,34,1,8,3
"1040",2,32,1,9,3
"1041",2,22,1,9,3
"1042",2,20,1,9,3
"1043",1,29,1,3,3
"1044",1,16,1,1,3
"1045",1,19,1,1,3
"1046",1,23,1,9,3
"1047",2,23,1,9,3
"1048",2,19,1,9,3
"1049",1,20,1,9,3
