"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"221",3,2017-09-06,2209,"U","Wet/Damp","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",45
"222",3,2017-09-07,727,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Female",61
"223",1,2017-09-08,734,"M62","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Female",23
"224",2,2017-09-08,743,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,1,3,"Male",30
"225",2,2017-09-13,828,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",53
"226",1,2017-09-08,1755,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Female",9
"227",2,2017-09-08,2130,"M62","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",54
"228",1,2017-09-09,1522,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",58
"229",2,2017-09-09,1743,"A6033","Wet/Damp","Darkness: Street Lights Unknown","Dark","Raining, no high winds",9,1,3,"Female",61
"230",3,2017-09-10,1608,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",1,1,3,"Male",22
"231",3,2017-09-11,538,"M62","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,3,"Male",31
"232",4,2017-09-11,1330,"M62","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",9,2,3,"Female",64
"233",2,2017-09-11,1838,"A629","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,2,"Male",31
"234",2,2017-09-13,1935,"A58","Wet/Damp","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",21
"235",3,2017-09-15,1214,"M62","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Female",82
"236",2,2017-09-16,1205,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",9
"237",2,2017-09-16,1555,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",4,1,3,"Male",36
"238",2,2017-09-17,1025,"U","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",24
"239",2,2017-09-20,1627,"B6113","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",16
"240",2,2017-09-21,1625,"U","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",12
"241",1,2017-09-22,1617,"A58","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, no high winds",3,1,3,"Male",25
"242",1,2017-09-22,725,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,3,"Female",13
"243",2,2017-09-27,1943,"U","Wet/Damp","Darkness: Street Lights Present::On","Dark","Raining, no high winds",9,1,2,"Male",23
"244",3,2017-09-28,1205,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,2,3,"Male",86
"245",2,2017-09-28,2129,"U","Dry","Darkness: Street Lights Present::On","Dark","Fine, no high winds",9,1,3,"Male",36
"246",1,2017-09-26,750,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",11,3,3,"Male",63
"247",2,2017-09-16,1300,"B6114","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",1,1,3,"Male",60
"248",1,2017-09-29,1843,"U","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",3,1,2,"Male",17
"249",1,2017-10-01,1715,"U","Wet/Damp","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,3,2,"Male",8
"250",1,2017-10-03,850,"A58","Wet/Damp","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,3,3,"Male",NA
"251",2,2017-10-03,1250,"A58","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,2,"Male",22
"252",1,2017-10-04,753,"A6036","Wet/Damp","Daylight: Street Lights Present","Daylight","Raining, high winds",9,3,3,"Male",16
"253",1,2017-10-05,1600,"A646","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",5,1,3,"Male",47
"254",2,2017-10-05,1700,"U","Wet/Damp","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",17
"255",2,2017-10-06,620,"A6025","Dry","Darkness: Street Lights Unknown","Dark","Fine, no high winds",9,1,3,"Male",49
"256",2,2017-10-08,1220,"A644","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Male",38
"257",1,2017-10-06,1418,"A641","Dry","Daylight: Street Lights Present","Daylight","Fine, no high winds",9,1,3,"Female",90
